"Sigle","Titre","Semestre dans le cursus","Aide à l'inscription pédagogique","Type du module","Auditeurs libres acceptés","Cours électifs / Contient des cours électifs","Cours électifs / Date de début des choix de cours électifs","Cours électifs / Date de fin des choix de cours électifs","Cours électifs / Message période ouverte","Cours électifs / Message si hors période","Cours électifs / Nombre de choix max étudiant","Notation / Moyenne minimale du module"
"UE4.L3.DA.S2","UE4-Professionnalisation.L3.DA.S2","6ème semestre","","","Non","Non","Mardi 30 novembre -0001 à 00:00","Mardi 30 novembre -0001 à 00:00","","","","0"
"UE4.L3.SC.S2","UE4-Professionnalisation.L3.SC.S2","6ème semestre","","","Non","Non","Mardi 30 novembre -0001 à 00:00","Mardi 30 novembre -0001 à 00:00","","","","0"
"UE4.L3.PV.S2","UE4-Professionnalisation.L3.PV.S2","6ème semestre","","","Non","Non","Mardi 30 novembre -0001 à 00:00","Mardi 30 novembre -0001 à 00:00","","","","0"
"UE4.L3.II.S2","UE4-Professionnalisation.L3.II.S2","6ème semestre","","","Non","Non","Mardi 30 novembre -0001 à 00:00","Mardi 30 novembre -0001 à 00:00","","","","0"
"UE4.L3.DV.S2","UE4-Professionnalisation.L3.DV.S2","6ème semestre","","","Non","Non","Mardi 30 novembre -0001 à 00:00","Mardi 30 novembre -0001 à 00:00","","","","0"
"UE4.L3.DT.S2","UE4-Professionnalisation.L3.DT.S2","6ème semestre","","","Non","Non","Mardi 30 novembre -0001 à 00:00","Mardi 30 novembre -0001 à 00:00","","","","0"
"UE4.L3.CA.S2","UE4-Professionnalisation.L3.CA.S2","6ème semestre","","","Non","Non","Mardi 30 novembre -0001 à 00:00","Mardi 30 novembre -0001 à 00:00","","","","0"
"UE4.L3.DG.S2","UE4-Professionnalisation.L3.DG.S2","6ème semestre","","","Non","Non","Mardi 30 novembre -0001 à 00:00","Mardi 30 novembre -0001 à 00:00","","","","0"
"UE4.L3.DO.S2","UE4-Professionnalisation.L3.DO.S2","6ème semestre","","","Non","Non","Mardi 30 novembre -0001 à 00:00","Mardi 30 novembre -0001 à 00:00","","","","0"
"UE4.L1.TR.S1","UE4 - Langues vivantes L1.S1","1er semestre","","","Non","Non","Mardi 30 novembre -0001 à 00:00","Mardi 30 novembre -0001 à 00:00","","","","12"
"UE4.L1.TR.S2","UE4 - Langues vivantes L1.S2","2ème semestre","","","Non","Non","Mardi 30 novembre -0001 à 00:00","Mardi 30 novembre -0001 à 00:00","","","","12"
"UE3.L1.TR.S2","UE3 - Fondamentaux théoriques L1.S2","2ème semestre","","","Non","Non","Mardi 30 novembre -0001 à 00:00","Mardi 30 novembre -0001 à 00:00","","","","12"
"UE2.L1.TR.S2","UE2 - Cours transversaux L1.S2","2ème semestre","","","Non","Oui","Mardi 30 novembre -0001 à 00:00","Mardi 30 novembre -0001 à 00:00","","","3","12"
"UE1.L1.G4.S2","UE1 -Cours de secteurs  basiques et fondamentaux G4.S2","2ème semestre","","","Non","Non","Mardi 30 novembre -0001 à 00:00","Mardi 30 novembre -0001 à 00:00","","","","12"
"UE1.L1.G3.S2","UE1 -Cours de secteurs  basiques et fondamentaux G3.S2","2ème semestre","","","Non","Non","Mardi 30 novembre -0001 à 00:00","Mardi 30 novembre -0001 à 00:00","","","","12"
"UE1.L1.G2.S2","UE1 -Cours de secteurs  basiques et fondamentaux G2.S2","2ème semestre","","","Non","Non","Mardi 30 novembre -0001 à 00:00","Mardi 30 novembre -0001 à 00:00","","","","12"
