"Sigle","Titre","Entité"
"11","1ère année Groupe 1","DE - Direction des Études"
"12","1ère année Groupe 2","DE - Direction des Études"
"13","1ère année Groupe 3","DE - Direction des Études"
"14","1ère année Groupe 4","DE - Direction des Études"
"6A","6ème année Atelier","DE - Direction des Études"
"6S","6ème Année Stage","DE - Direction des Études"
"AE","Art-Espace","DE - Direction des Études"
"CA","Cinéma d'Animation","DE - Direction des Études"
"DA","Design Architecture Milieu","DE - Direction des Études"
"MF","Design des mondes forestiers","DT - Design des Territoires"
"MI","Design des mondes insulaires","DT - Design des Territoires"
"ML","Design des mondes littoraux","DT - Design des Territoires"
"MM","Design des mondes montagneux","DT - Design des Territoires"
"MR","Design des mondes ruraux","DT - Design des Territoires"
"MU","Design des mondes urbains","DT - Design des Territoires"
"DG","Design Graphique","DE - Direction des Études"
"DO","Design Objet","DE - Direction des Études"
"DT","Design Textile et Matière","DE - Direction des Études"
"DV","Design Vêtement","DE - Direction des Études"
"PL","Gr ART, DESIGN, SOCIETE","DR - Direction de la Recherche"
"RI","Gr REFLECTIVE INTERACTION","DR - Direction de la Recherche"
"SM","Gr SOFT MATTERS","DR - Direction de la Recherche"
"SP","Gr SPATIAL MEDIA","DR - Direction de la Recherche"
"SY","Gr SYMBIOSE","DR - Direction de la Recherche"
"TE","Gr TERRITOIRES","DR - Direction de la Recherche"
"II","Image Imprimée","DE - Direction des Études"
"MO","Mode et Matière","EN - ENAMOMA"
"PV","Photo / Vidéo","DE - Direction des Études"
"SC","Scénographie","DE - Direction des Études"
