"Code","Type de cours"
"AN","Anglais"
"CF","Cours facultatif (sans UE)"
"CS","Cours secteur"
"FR","Français langue étrangère"
"HE","HTC électif intersecteur"
"HF","HTC fondamentaux"
"HM","HTC méthodologie mémoire"
"HR","HTC méthodologie recherche"
"HS","HTC secteur"
"MR","MRC"
"OG","Soutenance Grand projets"
"OL","Soutenance Licence"
"OM","Soutenance Mémoire M1"
"SP","Stage professionnel"
"ST","Studio"
"SM","Suivi mémoire"
"WR","Workshop de Rentrée"
"WI","Workshop licence intersecteur"
"WS","Workshop secteur"
